Ano_Trimestre;DESPSERV;DESPDUR;DESPNAODUR;DESPTCP
2003-I;4143.3;971.4;2072.5;7184.9
2003-II;4161.3;1009.8;2084.2;7249.3
2003-III;4190.7;1049.6;2123;7352.9
2003-IV;4220.2;1051.4;2132.5;7394.3
2004-I;4268.2;1067;2155.3;7479.8
2004-II;4308.4;1071.4;2164.3;7534.4
2004-III;4341.5;1093.9;2184;7607.1
2004-IV;4377.4;1110.3;2213.1;7687.1
2005-I;4395.3;1116.8;2241.5;7739.4
2005-II;4420;1150.8;2268.4;7819.8
2005-III;4454.5;1175.9;2287.6;7895.3
2005-IV;4476.7;1137.9;2309.6;7910.2
2006-I;4494.5;1190.5;2342.8;8003.8
2006-II;4535.4;1190.3;2351.1;8055
2006-III;4566.6;1208.8;2360.1;8111.2
