v65;v66;v67;v68;v69;v70
64,63589;64,87202;65,10814;65,34427;65,5804;65,81653
64,43918;64,6753;64,91143;65,14756;65,38369;65,61982
64,24246;64,47859;64,71472;64,95085;65,18698;65,4231
64,04575;64,28188;64,51801;64,75414;64,99026;65,22639
63,84904;64,08517;64,3213;64,55742;64,79355;65,02968
63,65233;63,88846;64,12458;64,36071;64,59684;64,83297
63,45562;63,69174;63,92787;64,164;64,40013;64,63626
63,2589;63,49503;63,73116;63,96729;64,20342;64,43954
63,06219;63,29832;63,53445;63,77058;64,0067;64,24283
62,86548;63,10161;63,33774;63,57386;63,80999;64,04612
62,66877;62,9049;63,14102;63,37715;63,61328;63,84941
62,47206;62,70818;62,94431;63,18044;63,41657;63,6527
62,27534;62,51147;62,7476;62,98373;63,21986;63,45598
62,07863;62,31476;62,55089;62,78702;63,02314;63,25927
61,88192;62,11805;62,35418;62,5903;62,82643;63,06256
61,68521;61,92134;62,15746;62,39359;62,62972;62,86585
61,4885;61,72462;61,96075;62,19688;62,43301;62,66913
61,29178;61,52791;61,76404;62,00017;62,23629;62,47242
61,09507;61,3312;61,56733;61,80345;62,03958;62,27571
60,89836;61,13449;61,37061;61,60674;61,84287;62,079
60,70165;60,93778;61,1739;61,41003;61,64616;61,88229
60,50494;60,74106;60,97719;61,21332;61,44945;61,68557
60,30822;60,54435;60,78048;61,01661;61,25273;61,48886
60,11151;60,34764;60,58377;60,81989;61,05602;61,29215
59,9148;60,15093;60,38705;60,62318;60,85931;61,09544
59,71809;59,95421;60,19034;60,42647;60,6626;60,89873
59,52137;59,7575;59,99363;60,22976;60,46589;60,70201
59,32466;59,56079;59,79692;60,03305;60,26917;60,5053
59,12795;59,36408;59,60021;59,83633;60,07246;60,30859
58,93124;59,16737;59,40349;59,63962;59,87575;60,11188
58,73453;58,97065;59,20678;59,44291;59,67904;59,91517
58,53781;58,77394;59,01007;59,2462;59,48233;59,71845
58,3411;58,57723;58,81336;59,04949;59,28561;59,52174
58,14439;58,38052;58,61665;58,85277;59,0889;59,32503
57,94768;58,18381;58,41993;58,65606;58,89219;59,12832
57,75097;57,98709;58,22322;58,45935;58,69548;58,93161
57,55425;57,79038;58,02651;58,26264;58,49877;58,73489
57,35754;57,59367;57,8298;58,06593;58,30205;58,53818
57,16083;57,39696;57,63309;57,86921;58,10534;58,34147
56,96412;57,20025;57,43637;57,6725;57,90863;58,14476
56,76741;57,00353;57,23966;57,47579;57,71192;57,94804
56,57069;56,80682;57,04295;57,27908;57,5152;57,75133
56,37398;56,61011;56,84624;57,08236;57,31849;57,55462
56,17727;56,4134;56,64952;56,88565;57,12178;57,35791
55,98056;56,21669;56,45281;56,68894;56,92507;57,1612
55,78385;56,01997;56,2561;56,49223;56,72836;56,96448
55,58713;55,82326;56,05939;56,29552;56,53164;56,76777
55,39042;55,62655;55,86268;56,0988;56,33493;56,57106
55,19371;55,42984;55,66596;55,90209;56,13822;56,37435
54,997;55,23312;55,46925;55,70538;55,94151;56,17764
54,80028;55,03641;55,27254;55,50867;55,7448;55,98092
54,60357;54,8397;55,07583;55,31196;55,54808;55,78421
54,40686;54,64299;54,87912;55,11524;55,35137;55,5875
54,21015;54,44628;54,6824;54,91853;55,15466;55,39079
54,01344;54,24956;54,48569;54,72182;54,95795;55,19408
53,81672;54,05285;54,28898;54,52511;54,76124;54,99736
53,62001;53,85614;54,09227;54,3284;54,56452;54,80065
53,4233;53,65943;53,89556;54,13168;54,36781;54,60394
53,22659;53,46272;53,69884;53,93497;54,1711;54,40723
53,02988;53,266;53,50213;53,73826;53,97439;54,21051
52,83316;53,06929;53,30542;53,54155;53,77768;54,0138
52,63645;52,87258;53,10871;53,34484;53,58096;53,81709
52,43974;52,67587;52,912;53,14812;53,38425;53,62038
52,24303;52,47916;52,71528;52,95141;53,18754;53,42367
52,04632;52,28244;52,51857;52,7547;52,99083;53,22695
51,8496;52,08573;52,32186;52,55799;52,79411;53,03024
51,65289;51,88902;52,12515;52,36127;52,5974;52,83353
51,45618;51,69231;51,92843;52,16456;52,40069;52,63682
51,25947;51,4956;51,73172;51,96785;52,20398;52,44011
51,06276;51,29888;51,53501;51,77114;52,00727;52,24339
